date,campaign_id,customer_id,cost_micros,average_order_value_micros,impressions,clicks,average_cpc,ctr,engagements,all_conversions_from_interactions_rate,rl_ingested_at,interactions
2025-06-11,1846934876,,54194608,0,268,72,752702.88888888888,0.26865671641791045,0,1.1993002222222222,2025-09-10 05:01:32.815467 UTC,72
2025-01-18,1846934876,,2455589,0,119,72,34105.402777777781,0.60504201680672265,0,0.58779765277777773,2025-08-13 14:32:56.374636 UTC,72
2025-06-24,1846934876,,25032369,0,259,72,347671.79166666669,0.277992277992278,0,1.3163982083333332,2025-09-23 05:01:36.163010 UTC,72
2024-02-21,1846934876,,10920000,0,131,73,149589.04109589042,0.5572519083969466,0,0.24211957534246575,2025-08-13 14:32:56.360752 UTC,73
2025-06-16,1846934876,,20229698,0,267,73,277119.15068493149,0.27340823970037453,0,0.99085550684931512,2025-09-15 05:01:48.325416 UTC,73
2025-05-10,1846934876,,7722800,0,308,74,104362.16216216216,0.24025974025974026,0,0.4750799054054054,2025-08-13 14:32:56.378859 UTC,74
2025-09-17,1846934876,,5336610,0,166,75,71154.8,0.45180722891566266,0,0.65412958666666665,2025-12-16 23:01:38.532450 UTC,75
2025-07-21,1846934876,,19238042,0,249,76,253132.13157894736,0.30522088353413657,0,1.388427197368421,2025-10-20 05:01:28.492135 UTC,76
2025-05-24,1846934876,,27425346,0,306,77,356173.32467532466,0.25163398692810457,0,0.77201519480519476,2025-08-23 05:01:29.105361 UTC,77
2025-06-14,1846934876,,14467096,0,231,78,185475.58974358975,0.33766233766233766,0,1.304978794871795,2025-09-13 05:01:50.199628 UTC,78
2025-07-15,1846934876,,26112407,0,256,79,330536.7974683544,0.30859375,0,2.6195275063291139,2025-10-14 05:01:27.910600 UTC,79
2025-06-18,1846934876,,16602131,0,281,80,207526.6375,0.28469750889679718,0,0.6303093625,2025-09-17 05:01:51.407747 UTC,80
2025-06-07,1846934876,,14276621,0,271,80,178457.7625,0.29520295202952029,0,0.9217533625,2025-09-06 05:01:45.435731 UTC,80
2025-05-30,1846934876,,16748655,0,254,81,206773.51851851851,0.31889763779527558,0,0.7255894444444444,2025-08-29 05:01:56.099776 UTC,81
2025-07-22,1846934876,,32803962,0,255,81,404987.18518518517,0.31764705882352939,0,1.2859936913580245,2025-10-21 05:02:40.021102 UTC,81
2025-05-28,1846934876,,16509663,0,242,83,198911.60240963855,0.34297520661157027,0,0.75201687951807228,2025-08-27 05:01:56.841747 UTC,83
2025-07-06,1846934876,,26083004,0,286,83,314253.06024096388,0.29020979020979021,0,1.3522758795180723,2025-10-05 05:01:30.176113 UTC,83
2025-07-29,1846934876,,18245141,0,321,86,212152.8023255814,0.26791277258566976,0,2.1794020581395346,2025-10-28 05:01:31.899261 UTC,86
2025-05-19,1846934876,,22134983,0,268,89,248707.67415730338,0.332089552238806,0,1.7509530786516854,2025-08-18 05:01:22.585980 UTC,89
2025-10-17,1846934876,,6864701,0,159,90,76274.455555555556,0.56603773584905659,0,1.3366080111111112,2026-01-15 23:01:27.078203 UTC,90
2025-07-23,1846934876,,26623263,0,286,90,295814.03333333333,0.31468531468531469,0,1.0656830333333334,2025-10-22 05:01:38.288857 UTC,90
2025-01-20,1846934876,,5325678,0,162,91,58523.934065934067,0.56172839506172845,0,1.0167105824175824,2025-08-13 14:32:56.374708 UTC,91
2025-06-20,1846934876,,20770493,0,348,91,228247.17582417582,0.2614942528735632,0,0.78244532967032965,2025-09-19 05:01:41.115550 UTC,91
2025-07-02,1846934876,,23112091,0,280,91,253979.02197802198,0.325,0,1.002912076923077,2025-10-01 05:01:18.279560 UTC,91
2025-06-15,1846934876,,36646065,0,331,91,402704.010989011,0.27492447129909364,0,1.2377376263736264,2025-09-14 05:01:18.462763 UTC,91
2025-06-19,1846934876,,23770904,0,352,93,255601.1182795699,0.26420454545454547,0,1.1237135591397849,2025-09-18 05:01:28.822055 UTC,93
2025-05-31,1846934876,,13900752,0,321,93,149470.45161290321,0.28971962616822428,0,0.44791218279569894,2025-08-30 05:02:00.717574 UTC,93
2025-07-25,1846934876,,28205116,0,383,94,300054.42553191487,0.24543080939947781,0,1.3907462978723404,2025-10-24 05:01:40.875088 UTC,94
2025-08-02,1846934876,,33479954,0,255,95,352420.56842105265,0.37254901960784315,0,1.5716908842105262,2025-11-01 05:01:36.823918 UTC,95
2025-07-16,1846934876,,22516531,0,367,95,237016.1157894737,0.25885558583106266,0,1.8166224736842107,2025-10-15 05:01:17.879754 UTC,95
2025-01-15,1846934876,,7485473,0,142,95,78794.452631578941,0.66901408450704225,0,1.1872563157894738,2025-08-13 14:32:56.374510 UTC,95
2025-07-28,1846934876,,23727003,0,245,96,247156.28125,0.39183673469387753,0,1.9604290104166668,2025-10-27 05:02:01.456269 UTC,96
2025-06-04,1846934876,,19837363,0,338,96,206639.19791666666,0.28402366863905326,0,0.63257063541666669,2025-09-03 05:01:23.772529 UTC,96
2025-07-18,1846934876,,33263287,0,251,96,346492.57291666669,0.38247011952191234,0,1.4296116874999998,2025-10-17 05:01:20.967175 UTC,96
2025-06-05,1846934876,,17468394,0,394,98,178248.91836734695,0.24873096446700507,0,0.926461969387755,2025-09-04 05:01:44.914380 UTC,98
2025-01-14,1846934876,,17586217,0,173,98,179451.193877551,0.56647398843930641,0,0.75535716326530611,2025-08-13 14:32:56.374469 UTC,98
2025-01-25,1846934876,,6386517,0,176,98,65168.540816326531,0.55681818181818177,0,0.84592186734693886,2025-08-13 14:32:56.374915 UTC,98
2025-05-16,1846934876,,30367257,0,325,99,306739.96969696973,0.30461538461538462,0,0.96543535353535359,2025-08-15 05:02:42.485980 UTC,99
2024-12-13,1846934876,,2156014,0,181,99,21777.919191919191,0.54696132596685088,0,0.585023696969697,2025-08-13 14:32:56.373106 UTC,99
2025-02-11,1846934876,,15787526,0,196,101,156312.13861386137,0.51530612244897955,0,0.67664441584158419,2025-08-13 14:32:56.375578 UTC,101
2025-06-06,1846934876,,12191617,0,298,102,119525.65686274511,0.34228187919463088,0,0.60965265686274506,2025-09-05 05:01:43.578443 UTC,102
2025-08-07,1846934876,,30478031,0,409,103,295903.213592233,0.25183374083129584,0,1.3277871747572816,2025-11-06 15:01:46.968037 UTC,103
2025-01-06,1846934876,,2118377,0,190,104,20369.009615384617,0.54736842105263162,0,0.48458933653846159,2025-08-13 14:32:56.374148 UTC,104
2025-06-26,1846934876,,25133818,0,400,104,241671.32692307694,0.26,0,1.0003430192307692,2025-09-25 05:01:22.876925 UTC,104
2025-06-08,1846934876,,31995426,0,353,106,301843.641509434,0.3002832861189802,0,0.95061227358490563,2025-09-07 05:01:35.798182 UTC,106
2025-05-17,1846934876,,24609731,0,369,106,232167.27358490566,0.2872628726287263,0,0.83651463207547172,2025-08-16 05:01:21.725864 UTC,106
2025-07-26,1846934876,,31270160,0,252,108,289538.51851851854,0.42857142857142855,0,1.6812873888888888,2025-10-25 05:01:22.833368 UTC,108
2025-07-05,1846934876,,22313765,0,446,109,204713.44036697247,0.24439461883408073,0,0.91654244954128439,2025-10-04 05:01:35.318027 UTC,109
2025-05-18,1846934876,,29379450,0,321,110,267085.90909090912,0.34267912772585668,0,0.96034930000000007,2025-08-17 05:01:31.433536 UTC,110
2025-08-06,1846934876,,44189830,0,581,110,401725.72727272729,0.18932874354561102,0,1.7409601909090908,2025-11-05 05:01:24.518884 UTC,110
2025-01-03,1846934876,,1662969,0,198,110,15117.9,0.55555555555555558,0,0.91908123636363637,2025-08-13 14:32:56.374024 UTC,110
2025-06-22,1846934876,,29893951,0,328,111,269314.87387387385,0.33841463414634149,0,0.99422850450450451,2025-09-21 05:01:26.161530 UTC,111
2025-06-21,1846934876,,28986966,0,362,112,258812.19642857142,0.30939226519337015,0,0.85683038392857136,2025-09-20 05:01:47.160355 UTC,112
2025-06-25,1846934876,,47073418,0,439,113,416578.92035398231,0.25740318906605925,0,0.991742407079646,2025-09-24 05:01:56.985845 UTC,113
2025-01-02,1846934876,,1631081,0,179,114,14307.728070175439,0.63687150837988826,0,0.97765453508771938,2025-08-13 14:32:56.373985 UTC,114
2025-04-07,1846934876,,3770242,0,176,116,32502.086206896551,0.65909090909090906,0,0.98846308620689649,2025-08-13 14:32:56.377657 UTC,116
2025-09-08,1846934876,,15435042,0,339,117,131923.43589743591,0.34513274336283184,0,1.1008496837606836,2025-12-07 23:01:35.268234 UTC,117
2025-01-04,1846934876,,1603388,0,183,118,13588.033898305084,0.644808743169399,0,0.7171348050847457,2025-08-13 14:32:56.374068 UTC,118
2025-07-03,1846934876,,23202747,0,415,118,196633.44915254237,0.28433734939759037,0,1.1720243389830507,2025-10-02 05:01:33.772667 UTC,118
2025-01-07,1846934876,,1720811,0,194,120,14340.091666666667,0.61855670103092786,0,0.99027130833333332,2025-08-13 14:32:56.374186 UTC,120
2025-08-01,1846934876,,26226028,0,352,120,218550.23333333334,0.34090909090909088,0,1.5747695666666668,2025-10-31 05:01:33.488730 UTC,120
2025-06-23,1846934876,,27034325,0,390,120,225286.04166666666,0.30769230769230771,0,0.9886857,2025-09-22 05:01:25.183002 UTC,120
2024-05-28,1846934876,,20750000,0,237,122,170081.96721311475,0.51476793248945152,0,1.0634777868852459,2025-08-13 14:32:56.365050 UTC,122
2025-07-24,1846934876,,32705589,0,434,123,265899.09756097558,0.28341013824884792,0,1.7842393658536586,2025-10-23 05:01:00.273485 UTC,123
2025-07-27,1846934876,,29695963,0,316,124,239483.57258064515,0.39240506329113922,0,1.0954978467741936,2025-10-26 05:01:33.125940 UTC,124
2025-09-18,1846934876,,5240689,0,222,125,41925.512,0.56306306306306309,0,1.325088712,2025-12-17 23:02:21.591927 UTC,125
2025-07-17,1846934876,,24214145,0,366,125,193713.16,0.34153005464480873,0,1.47089824,2025-10-16 05:01:24.994367 UTC,125
2025-06-01,1846934876,,39372659,0,374,127,310020.937007874,0.339572192513369,0,0.595379062992126,2025-08-31 05:01:32.759055 UTC,127
2025-07-01,1846934876,,41847433,0,477,128,326933.0703125,0.26834381551362685,0,0.948832640625,2025-09-30 05:01:51.144228 UTC,128
2025-03-29,1846934876,,2549068,0,194,129,19760.217054263565,0.66494845360824739,0,0.61721091472868217,2025-08-13 14:32:56.377327 UTC,129
2025-09-19,1846934876,,5057644,0,227,129,39206.542635658916,0.56828193832599116,0,0.92270365116279074,2025-12-18 23:01:54.995704 UTC,129
2025-07-08,1846934876,,36591471,0,412,129,283654.81395348837,0.31310679611650488,0,2.320683410852713,2025-10-07 05:01:22.596566 UTC,129
2025-07-30,1846934876,,25599764,0,431,129,198447.78294573643,0.29930394431554525,0,1.413284472868217,2025-10-29 05:01:31.975918 UTC,129
2025-01-05,1846934876,,1582973,0,192,130,12176.715384615385,0.67708333333333337,0,0.9286501,2025-08-13 14:32:56.374109 UTC,130
2025-07-07,1846934876,,26689635,0,425,130,205304.88461538462,0.30588235294117649,0,1.4676330153846153,2025-10-06 05:01:22.964980 UTC,130
2025-10-13,1846934876,,2695731,0,181,131,20578.099236641221,0.72375690607734811,0,1.8729566259541983,2026-01-11 23:01:23.453210 UTC,131
2025-01-24,1846934876,,10006445,0,242,131,76385.076335877864,0.54132231404958675,0,0.80933504580152671,2025-08-13 14:32:56.374873 UTC,131
2025-07-20,1846934876,,25764593,0,347,131,196676.28244274808,0.37752161383285304,0,1.1472015954198473,2025-10-19 05:01:39.236625 UTC,131
2024-12-17,1846934876,,4056005,0,230,132,30727.310606060608,0.57391304347826089,0,0.64197668939393937,2025-08-13 14:32:56.373258 UTC,132
2025-10-14,1846934876,,3038370,0,225,132,23017.954545454544,0.58666666666666667,0,1.4664274772727275,2026-01-12 23:01:16.022668 UTC,132
2025-01-23,1846934876,,4004370,0,266,133,30108.045112781954,0.5,0,0.47012712030075188,2025-08-13 14:32:56.374828 UTC,133
2025-02-24,1846934876,,8573706,0,215,133,64463.954887218046,0.61860465116279073,0,0.38904,2025-08-13 14:32:56.376073 UTC,133
2025-09-24,1846934876,,3088819,0,227,135,22880.140740740742,0.59471365638766516,0,1.0902559259259259,2025-12-23 23:01:24.149569 UTC,135
2025-01-28,1846934876,,4399523,0,226,137,32113.306569343065,0.60619469026548678,0,0.5104638832116789,2025-08-13 14:32:56.375030 UTC,137
2025-04-05,1846934876,,2765891,0,208,140,19756.364285714284,0.67307692307692313,0,0.80938936428571429,2025-08-13 14:32:56.377587 UTC,140
2025-04-02,1846934876,,3722857,0,225,143,26033.965034965036,0.63555555555555554,0,0.58622643356643356,2025-08-13 14:32:56.377481 UTC,143
2025-01-30,1846934876,,9167454,0,246,144,63662.875,0.58536585365853655,0,0.71530251388888888,2025-08-13 14:32:56.375108 UTC,144
2025-02-13,1846934876,,8017000,0,219,145,55289.65517241379,0.66210045662100458,0,0.68807097241379311,2025-08-13 14:32:56.375657 UTC,145
2025-01-01,1846934876,,18771945,0,250,145,129461.68965517242,0.58,0,0.6960556896551725,2025-08-13 14:32:56.373948 UTC,145
2025-01-08,1846934876,,1985811,0,219,146,13601.445205479453,0.66666666666666663,0,0.67476143835616442,2025-08-13 14:32:56.374226 UTC,146
2025-01-16,1846934876,,4518893,0,228,147,30740.768707482992,0.64473684210526316,0,1.0361911972789117,2025-08-13 14:32:56.374553 UTC,147
2025-07-12,1846934876,,34791252,0,479,147,236675.18367346938,0.3068893528183716,0,1.248405380952381,2025-10-11 05:01:12.548829 UTC,147
2024-12-16,1846934876,,3716136,0,288,148,25109.027027027027,0.51388888888888884,0,0.90969158783783788,2025-08-13 14:32:56.373218 UTC,148
2025-10-01,1846934876,,3743719,0,232,148,25295.39864864865,0.63793103448275867,0,0.75126724324324323,2025-12-30 23:01:51.492465 UTC,148
2025-10-09,1846934876,,4403487,0,274,149,29553.604026845638,0.54379562043795615,0,1.3992617315436242,2026-01-07 23:01:36.919707 UTC,149
2025-09-25,1846934876,,4072711,0,231,149,27333.63087248322,0.645021645021645,0,1.2268388926174496,2025-12-24 23:01:42.641402 UTC,149
2025-02-21,1846934876,,6234595,0,234,150,41563.966666666667,0.64102564102564108,0,0.68357932,2025-08-13 14:32:56.375960 UTC,150
2025-10-19,1846934876,,3252454,0,218,150,21683.026666666668,0.68807339449541283,0,1.88092712,2026-01-17 00:01:39.172262 UTC,150
2025-08-11,1846934876,,20267434,0,526,152,133338.38157894736,0.28897338403041822,0,1.257389822368421,2025-11-09 23:01:57.675198 UTC,152
2025-02-05,1846934876,,13329684,0,273,152,87695.289473684214,0.5567765567765568,0,0.637771177631579,2025-08-13 14:32:56.375341 UTC,152
2025-10-11,1846934876,,3406361,0,231,152,22410.269736842107,0.658008658008658,0,1.9142128486842105,2026-01-09 23:02:01.033431 UTC,152
2026-01-14,1846934876,,17266813,0,339,153,112854.98692810457,0.45132743362831856,0,0.35847549019607844,2026-01-17 00:01:39.180415 UTC,153
2025-10-16,1846934876,,3654822,0,242,154,23732.610389610389,0.63636363636363635,0,1.1848502467532467,2026-01-14 23:01:51.288508 UTC,154
2025-03-27,1846934876,,3403220,0,209,154,22098.83116883117,0.73684210526315785,0,0.78471127922077921,2025-08-13 14:32:56.377255 UTC,154
2025-02-20,1846934876,,9795531,0,225,154,63607.344155844155,0.68444444444444441,0,0.41921696753246757,2025-08-13 14:32:56.375923 UTC,154
2025-06-30,1846934876,,63169225,0,619,155,407543.38709677418,0.25040387722132473,0,1.1842714451612903,2025-09-29 05:01:13.986073 UTC,155
2025-02-06,1846934876,,16202907,0,267,156,103864.78846153847,0.5842696629213483,0,0.81652044230769227,2025-08-13 14:32:56.375381 UTC,156
2025-06-28,1846934876,,54149019,0,557,156,347109.09615384613,0.28007181328545783,0,0.67780892948717941,2025-09-27 05:02:03.294221 UTC,156
2025-08-05,1846934876,,54386435,0,709,156,348630.99358974356,0.22002820874471085,0,1.6278387435897437,2025-11-04 05:01:25.566923 UTC,156
2025-03-31,1846934876,,3533723,0,243,158,22365.335443037973,0.65020576131687247,0,0.56222006329113927,2025-08-13 14:32:56.377405 UTC,158
2025-09-30,1846934876,,3665716,0,239,158,23200.734177215189,0.66108786610878656,0,0.83472639873417731,2025-12-29 23:01:17.195869 UTC,158
2025-07-14,1846934876,,29180047,0,471,158,184683.84177215191,0.3354564755838641,0,1.7166894936708861,2025-10-13 05:01:50.230876 UTC,158
2025-07-09,1846934876,,53418802,0,586,159,335967.3081761006,0.2713310580204778,0,1.8685740440251573,2025-10-08 05:01:09.482651 UTC,159
2025-01-19,1846934876,,5395877,0,247,159,33936.333333333336,0.64372469635627527,0,0.4866103396226415,2025-08-13 14:32:56.374671 UTC,159
2025-07-19,1846934876,,30096628,0,369,160,188103.925,0.43360433604336046,0,1.2791649,2025-10-18 05:01:41.827765 UTC,160
2025-02-25,1846934876,,7539647,0,238,161,46830.105590062114,0.67647058823529416,0,0.44433385714285717,2025-08-13 14:32:56.376108 UTC,161
2025-10-07,1846934876,,3646487,0,259,161,22648.987577639753,0.6216216216216216,0,0.80711198136645967,2026-01-05 23:01:58.962073 UTC,161
2025-03-10,1846934876,,8923076,0,236,161,55422.832298136644,0.68220338983050843,0,0.49841486335403729,2025-08-13 14:32:56.376589 UTC,161
2025-10-08,1846934876,,4453413,0,281,163,27321.552147239265,0.58007117437722422,0,0.91682655828220871,2026-01-06 23:01:41.713350 UTC,163
2025-10-12,1846934876,,4073017,0,248,163,24987.834355828221,0.657258064516129,0,1.3478367730061349,2026-01-10 23:02:11.695459 UTC,163
2025-10-03,1846934876,,3870942,0,252,164,23603.304878048781,0.65079365079365081,0,1.0651035182926829,2026-01-01 23:02:53.957160 UTC,164
2025-10-05,1846934876,,4166572,0,248,164,25405.926829268294,0.66129032258064513,0,1.1398923170731707,2026-01-03 23:01:38.622705 UTC,164
2025-10-10,1846934876,,5149405,0,255,165,31208.515151515152,0.6470588235294118,0,1.3846272909090909,2026-01-08 23:01:43.484558 UTC,165
2025-02-19,1846934876,,11833944,0,263,165,71720.872727272726,0.62737642585551334,0,0.76754317575757569,2025-08-13 14:32:56.375885 UTC,165
2025-10-18,1846934876,,3392879,0,249,165,20562.90303030303,0.66265060240963858,0,1.8461703393939395,2026-01-16 23:01:59.511303 UTC,165
2025-01-29,1846934876,,6650088,0,257,166,40060.77108433735,0.64591439688715957,0,0.78806233132530112,2025-08-13 14:32:56.375068 UTC,166
2025-09-23,1846934876,,3534168,0,239,166,21290.168674698794,0.694560669456067,0,1.2329905180722891,2025-12-22 23:01:23.430028 UTC,166
2025-01-31,1846934876,,4846689,0,268,167,29022.089820359281,0.62313432835820892,0,0.59273858083832331,2025-08-13 14:32:56.375146 UTC,167
2024-02-19,1846934876,,50930000,0,346,167,304970.05988023954,0.48265895953757226,0,0.56096274251497014,2025-08-13 14:32:56.360705 UTC,167
2025-09-29,1846934876,,4641708,0,238,167,27794.65868263473,0.70168067226890751,0,1.0938306706586827,2025-12-28 23:02:17.349505 UTC,167
2024-12-31,1846934876,,14185735,0,270,168,84438.898809523816,0.62222222222222223,0,0.793027630952381,2025-08-13 14:32:56.373910 UTC,168
2025-03-26,1846934876,,5085902,0,265,168,30273.226190476191,0.63396226415094337,0,0.70867964880952383,2025-08-13 14:32:56.377215 UTC,168
2025-09-22,1846934876,,3747395,0,263,168,22305.922619047618,0.63878326996197721,0,0.74458739285714282,2025-12-21 23:01:35.786240 UTC,168
2025-03-04,1846934876,,5620243,0,265,168,33453.827380952382,0.63396226415094337,0,0.92385691666666669,2025-08-13 14:32:56.376370 UTC,168
2025-03-12,1846934876,,4982826,0,244,168,29659.678571428572,0.68852459016393441,0,0.67817988095238091,2025-08-13 14:32:56.376664 UTC,168
